dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,linear_svm,15,0.6666666666666666,0.42857142857142855,0.4,0.6222222222222222,0.375,0.42857142857142855,0.0,0.8571428571428571,0.4285714285714286
report_only,linear_svm,16,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.6875
report_only,linear_svm,17,0.4,0.2857142857142857,0.2857142857142857,0.4,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714
report_only,linear_svm,18,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7142857142857142
report_only,linear_svm,19,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.7857142857142857
report_only,linear_svm,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
report_only,linear_svm,21,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.625
report_only,linear_svm,22,0.5,0.5476190476190476,0.4949494949494949,0.5151515151515151,0.5416666666666666,0.5476190476190476,0.6666666666666666,0.42857142857142855,0.7619047619047619
report_only,linear_svm,23,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7857142857142857
report_only,linear_svm,24,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7857142857142857
report_only,linear_svm,25,0.7777777777777778,0.5,0.4375,0.6805555555555556,0.3888888888888889,0.5,0.0,1.0,0.7857142857142857
report_only,linear_svm,26,0.5,0.3125,0.3333333333333333,0.5333333333333333,0.35714285714285715,0.3125,0.0,0.625,0.4375
report_only,linear_svm,27,0.7,0.5952380952380952,0.6000000000000001,0.68,0.625,0.5952380952380952,0.3333333333333333,0.8571428571428571,0.6190476190476191
report_only,linear_svm,28,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7857142857142857
report_only,linear_svm,29,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.5714285714285714
report_only,linear_svm,30,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,linear_svm,31,0.5,0.3125,0.3333333333333333,0.5333333333333333,0.35714285714285715,0.3125,0.0,0.625,0.625
report_only,linear_svm,32,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.9047619047619049
report_only,linear_svm,33,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.9285714285714286
report_only,linear_svm,34,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.6428571428571428
report_only,linear_svm,35,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.8571428571428572
report_only,linear_svm,36,0.5,0.5,0.45054945054945056,0.5494505494505495,0.5,0.5,0.5,0.5,0.375
report_only,linear_svm,37,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,1.0
report_only,linear_svm,38,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.5714285714285714
report_only,linear_svm,39,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.8957264957264957,0.8333333333333333,0.9285714285714286,1.0,0.8571428571428571,1.0
report_only,linear_svm,40,0.4444444444444444,0.2857142857142857,0.3076923076923077,0.4786324786324787,0.3333333333333333,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714
report_only,linear_svm,41,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.875
report_only,linear_svm,42,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.7619047619047619
report_only,linear_svm,43,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.5714285714285714
